Fecha,México,Susana_00,Susana_20,Susana_50
2020-02-28,1,1,1,1
2020-02-29,4,4,4,4
2020-03-01,5,5,5,5
2020-03-02,5,5,5,5
2020-03-03,5,5,5,5
2020-03-04,5,5,5,5
2020-03-05,5,5,5,5
2020-03-06,6,6,6,6
2020-03-07,7,7,7,7
2020-03-08,7,7,7,7
2020-03-09,7,7,7,7
2020-03-10,7,7,7,7
2020-03-11,11,11,11,11
2020-03-12,16,16,16,16
2020-03-13,30,30,30,30
2020-03-14,44,44,44,44
2020-03-15,55,55,55,55
2020-03-16,75,75,75,75
2020-03-17,101,101,101,101
2020-03-18,118,118,118,118
2020-03-19,177,177,177,177
2020-03-20,203,194,194,194
2020-03-21,251,214,214,214
2020-03-22,316,253,253,253
2020-03-23,356,309,309,309
2020-03-24,405,383,383,383
2020-03-25,475,478,478,478
2020-03-26,585,602,602,602
2020-03-27,,763,763,763
2020-03-28,,970,954,934
2020-03-29,,1240,1180,1111
2020-03-30,,1589,1448,1291
2020-03-31,,2042,1767,1476
2020-04-01,,2629,2148,1666
2020-04-02,,3390,2600,1860
2020-04-03,,4376,3139,2060
