Fecha,Mexico,Mexico_log10,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Estado de Mexico,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2020-02-28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,4,0.602059991,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-01,5,0.698970004,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-02,5,0.698970004,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-03,5,0.698970004,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-04,5,0.698970004,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-05,5,0.698970004,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-06,6,0.77815125,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-07,7,0.84509804,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-08,7,0.84509804,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-09,7,0.84509804,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-10,7,0.84509804,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-11,11,1.041392685,0,0,0,0,1,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2020-03-12,15,1.176091259,0,0,0,0,1,0,6,1,0,1,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
2020-03-13,28,1.447158031,0,0,0,0,1,0,11,1,0,1,3,0,0,0,0,0,0,0,2,0,2,4,1,1,0,0,0,0,0,0,1,0
2020-03-14,42,1.62324929,0,0,0,0,1,0,17,1,0,1,3,0,0,0,2,0,0,0,4,2,4,4,1,1,0,0,0,0,0,0,1,0
2020-03-15,53,1.72427587,1,0,0,0,1,0,18,1,0,1,5,2,0,0,2,0,0,0,5,2,6,4,1,2,1,0,0,0,0,0,1,0
2020-03-16,72,1.857332496,1,0,0,0,1,0,18,0,0,3,5,2,2,0,2,0,0,0,12,2,9,6,4,2,1,0,0,1,0,0,1,0
2020-03-17,98,1.991226076,1,2,0,0,1,1,21,0,1,3,8,4,2,0,7,0,0,0,14,2,10,7,4,3,1,0,0,1,0,0,5,0
2020-03-18,115,2.06069784,2,2,0,0,1,1,21,0,1,3,9,4,2,0,7,0,0,0,19,2,10,7,6,7,1,0,1,2,0,2,5,0
2020-03-19,173,2.238046103,4,3,0,0,2,1,30,0,1,3,9,4,4,2,27,0,0,0,25,2,12,9,6,7,2,2,1,2,0,2,13,0
2020-03-20,198,2.29666519,4,4,0,0,2,2,30,0,1,3,13,4,4,2,28,0,2,0,29,2,14,11,11,7,2,2,2,2,0,4,13,0
2020-03-21,246,2.390935107,4,8,1,0,2,2,44,2,2,4,13,4,4,3,32,0,2,1,32,2,16,14,12,9,2,2,4,3,0,7,14,1
