Fecha,Mexico_pais,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de Mexico,Coahuila,Colima,Durango,Mexico,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Queretaro,Quintana Roo,San Luis Potosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
28/02/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/02/2020,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01/03/2020,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/03/2020,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/03/2020,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12/03/2020,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
13/03/2020,14,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,0
14/03/2020,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
15/03/2020,11,1,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0
16/03/2020,20,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,3,2,3,0,0,0,0,1,0,0,0,0
17/03/2020,26,0,2,0,0,0,1,3,0,1,0,3,2,0,0,5,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,4,0
18/03/2020,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,4,0,0,1,1,0,2,0,0
19/03/2020,59,2,1,0,0,1,0,10,0,0,0,0,0,2,2,20,0,0,0,6,0,2,2,0,0,1,2,0,0,0,0,8,0
20/03/2020,26,0,1,0,0,0,1,0,0,0,1,4,0,0,0,1,0,2,0,4,0,2,2,5,0,0,0,1,0,0,2,0,0
21/03/2020,48,0,4,1,0,0,0,14,2,1,1,0,0,0,1,4,0,0,1,3,0,2,3,1,2,0,0,2,1,0,3,1,1
22/03/2020,65,0,3,0,1,0,3,11,7,0,0,8,0,0,2,9,3,0,0,3,1,0,0,0,3,1,2,1,1,0,0,5,1
23/03/2020,40,2,0,0,0,0,0,4,2,0,0,0,3,0,0,5,5,0,0,13,-1,0,0,10,0,-1,-2,0,0,0,0,0,0
